categorie,partenaire,nom_commune,description,url_facebook,url_website
BIEN-ETRE_BEAUTE,EQUILIBRE ETRE BIEN,"NOUMEA,LA FOA",,https://www.facebook.com/SalonSEBE/?locale=fr_FR,
BIEN-ETRE_BEAUTE,CURL LE SALON,NOUMEA,Salon de coiffure tendance à Nouméa,https://www.facebook.com/CurlStudioNC/,
BIEN-ETRE_BEAUTE,GREEN COSMETIQUE,NOUMEA,,https://www.facebook.com/GreenCosmetiqueCaledonie/?locale=fr_FR,
BIEN-ETRE_BEAUTE,HAPPY DISTRIBUTION,NOUMEA,"Chez Happy Distribution nous parcourons le monde pour vous offrir les produits les plus rares et authentiques : miel, huile, vanille, dattes bio et plus encore",https://www.facebook.com/HappyDistributionNC/,
BIEN-ETRE_BEAUTE,HERA PARFUMERIE,DUMBEA,"Héra, les plus grandes marques de la beauté pour les femmes et les hommes: parfumerie, soins",https://www.facebook.com/heraparfumerie/?locale=fr_FR,
BIEN-ETRE_BEAUTE,INSTITUT GAïA,PAITA,Institut utilisant les produits Thalgo et Décléor,https://www.facebook.com/institutdebeautegaia/?locale=fr_FR,
BIEN-ETRE_BEAUTE,JOIA INSTITUT BEAUTÉ,KOUMAC,"Centre de Bien-être massages, soin du visage,épilation,onglerie,maquillage,soin du corps et cures amincissements, resine",https://www.facebook.com/p/Jo%C3%AFa-Institut-de-beaut%C3%A9-100063528910242/?locale=fr_FR&_rdr,
BIEN-ETRE_BEAUTE,L’ATELIER GAUTIER,NOUMEA,Salon de coiffure,https://www.facebook.com/AtelierGautier.NC/?locale=fr_FR,
BIEN-ETRE_BEAUTE,L’OCCITANE,NOUMEA,,https://www.facebook.com/loccitane.nc/?locale=fr_FR,
BIEN-ETRE_BEAUTE,LE LAGON – SPA INSTITUT,NOUMEA,"Au cœur même de l'Hôtel Le Lagon, notre Institut de beauté et Spa vous accueille, dans un cadre intimiste et vous propose une large gamme de soins et de massages.",https://www.facebook.com/SpaInstitutLeLagon/?locale=fr_FR,
BIEN-ETRE_BEAUTE,LUXSA SPA,NOUMEA,Vivez l'expérience du bien-être et de la détente dans votre institut de massage situé à l'Anse Vata,https://www.facebook.com/LUXSA.SPA.NOUMEA/,
BIEN-ETRE_BEAUTE,MAKE UP NC,NOUMEA,"Boutique spécialisée dans le maquillage, le soin et le parfum pour tous les budgets.",https://www.facebook.com/p/MAKE-UP-NC-100092862206511/,
BIEN-ETRE_BEAUTE,MARLENE,NOUMEA,"Parfumerie, maroquinerie, textile, lingerie, bijouterie ... 2 boutiques à votre service: Centre Ville rue de l' Alma & Galerie Port Plaisance",https://www.facebook.com/marlene.parfumerie.nc/,
BIEN-ETRE_BEAUTE,P.S Beauté by Somlinda,NOUMEA,"Soins esthétiques, salon de coiffure,massage balinais, prothésiste ongulaire et styliste de cils..",https://www.facebook.com/p/PS-Beaut%C3%A9-By-Somlida-100090251586823/,
BIEN-ETRE_BEAUTE,PAÑPURI,NOUMEA,Spa - Massages thaïlandais - Relaxation - Huiles chaudes - Produits soins du corps et beauté - Parfums d'ambiance pour la maison,,https://panpuri.nc/
BIEN-ETRE_BEAUTE,PASSION BEAUTE,NOUMEA,Parfumerie Passion beauté,https://www.facebook.com/passionbeauterozannenc/?locale=fr_FR,
BIEN-ETRE_BEAUTE,SAVONEA,NOUMEA,SAVON saponifié à froid. Riche en glycérine et surgras il est bon pour la peau et bon pour la planète,https://www.facebook.com/lesavonniercaledonien/,
BIEN-ETRE_BEAUTE,SHANA NC,NOUMEA,Boutique Calédonienne spécialisée dans la vente de cosmétiques et d'accessoires de beauté🌸✨,https://www.facebook.com/shana.nouvellecaledonie/?locale=fr_FR,
BIEN-ETRE_BEAUTE,SHIATSU NC,NOUMEA,"20 ans d' expérience professionnelle en Zen Shiatsu, triple certification École SYM, FFST et SPS",https://www.facebook.com/shiatsu.nc/?locale=fr_FR,
BIEN-ETRE_BEAUTE,SHIVA THAI MASSAGE,NOUMEA,Offrez vous un instant de relaxation et de bien-être en solo ou en duo,https://www.facebook.com/ShivaThaiMassageNC/,
BIEN-ETRE_BEAUTE,SOVEREIGN STUDIO,NOUMEA,Espace de bien être,,
BIEN-ETRE_BEAUTE,TRADITION THAILAND,NOUMEA,Vivez l'expérience du bien-être et de la détente dans votre institut de massage situé à l'Anse Vata,https://www.facebook.com/LUXSA.SPA.NOUMEA/,
BIEN-ETRE_BEAUTE,V.I.P,NOUMEA,"V.I.P. Vivre un Instant Parfumé, une marque Calédonienne déposée spécialisé dans la création",https://www.facebook.com/vipvivreuninstantparfume/?locale=fr_FR,
BIEN-ETRE_BEAUTE,VITAL RELAX,NOUMEA,"Reiki Magnétisme, Soin Énergétique, Résonance Vibratoire, Massage, Bols tibétains, Voyage sonore, Qi Gong",https://www.facebook.com/vitalrelax.pro/?locale=fr_FR,
BIEN-ETRE_BEAUTE,YVES ROCHER,"NOUMEA,DUMBEA",🌱 Créateur de la Cosmétique Végétale,https://www.facebook.com/YvesRocherNouvelleCaledonie/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,ACOEURS ACCORD,NOUMEA,,,
LIBRAIRIE_JEUX_PUERICULTURE,AS DE TREFLE,NOUMEA,"papeterie, produits multimédia, livres, fournitures scolaires et bureau, jouets et bien plus encore",https://www.facebook.com/@asdetrefle.nc/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,AS DE TREFLE KOUMAC,KOUMAC,"papeterie, produits multimédia, livres, fournitures scolaires et bureau, jouets et bien plus encore",https://www.facebook.com/@asdetrefle.nc/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,AVENUE DE LA FETE,NOUMEA,"Articles et décos de fête pour tous les anniversaires, fêtes,...",https://www.facebook.com/avenuedelafete/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,BABY FASHION,BOURAIL,Une boutique de vêtements située au cœur du village de Bourail avec du choix et des prix abordables !,https://www.facebook.com/p/Baby-Fashion-Bourail-100057288466248/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,BEBE 9,NOUMEA,Franchise spécialisée en Puériculture. 850 m3 dédiés à l'univers du Bébé en Nouvelle-Calédonie,https://www.facebook.com/p/B%C3%A9b%C3%A99-Noum%C3%A9a-100064855294332/?locale=fr_FR&_rdr,
LIBRAIRIE_JEUX_PUERICULTURE,BUREAU VALLEE,NOUMEA,Bureau Vallée N°1 de la fourniture de bureau en Outre mer,https://www.facebook.com/BureauVallee.nc/?locale=nl_NL,
LIBRAIRIE_JEUX_PUERICULTURE,COSY MINT,NOUMEA,"Votre boutique tendance, toute mignonne, fun et stylée !! Vous y trouverez toutes vos meilleures idées cadeaux, pratiques et jolies, pour les petits et pour les plus grands ",https://www.facebook.com/cosymint.nc/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,DEGUIZMOI,NOUMEA,"Location et Vente de costumes ,accessoires ,enfant/adulte. Location de Sono,éclairage d'ambiance",https://www.facebook.com/deguizmoi.nc/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,GÉANT,"NOUMEA,DUMBEA",,https://www.facebook.com/@GeantCasino.NC/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,HACHETTE CALEDONIE,NOUMEA,,https://www.facebook.com/HachetteCaledonieNC/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,ILOT CREATION,NOUMEA,Créatrice de faire-part uniques et personnalisés pour tous les jolis jours de votre vie ainsi que tous les produits associés à cet événement et personnalisés sur le thème votre choix,,
LIBRAIRIE_JEUX_PUERICULTURE,JOUÉ CLUB,NOUMEA,,https://www.facebook.com/joueclubnoumea/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,KING JOUET,PAITA,"KING JOUET l’expert des jouets qui innove pour proposer des jouets tendances, de qualité et au prix le plus juste.",https://www.facebook.com/profile.php?id=61566900764685,
LIBRAIRIE_JEUX_PUERICULTURE,L’ATELIER DU JOUET,NOUMEA,Magasin de jouets,https://www.facebook.com/latelierdujouetnc/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,LA CAVERNE D’ALI BABA,NOUMEA,Magasin de jouets,https://www.facebook.com/lacavernedalibabanoumea/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,LA FOIR’FOUILLE,"NOUMEA,PAITA",,https://www.facebook.com/lafoirfouille.nc/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,LE PETIT CAGOU,KONE,"Puériculture, vêtements, chaussures, jouets, pelotes de laine et accessoires tricot, crochet",https://www.facebook.com/LEPETITCAGOU/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,LUDIK.NC,NOUMEA,Librairie indépendante et spécialisée BD / Mangas / Jeux de rôles / mangas / romans adolescents / livres jeunesse. Et + de 2000 Jeux de société !,https://www.facebook.com/ludik.ncal/?locale=fr_FR,http://www.ludik.nc/
LIBRAIRIE_JEUX_PUERICULTURE,MINISO,"NOUMEA,DUMBEA",,https://www.facebook.com/@MinisoNC/,
LIBRAIRIE_JEUX_PUERICULTURE,MISS GAMES,NOUMEA,"La référence Jeux vidéo, Manga et Cigarette électronique en Nouvelle Calédonie depuis 2001 !!!",https://www.facebook.com/Miss.GamesNC/,
LIBRAIRIE_JEUX_PUERICULTURE,NOPAC,"NOUMEA,POUEMBOUT","NOPAC c'est deux magasins à Nouméa et Pouembout, avec 26 000 articles, qui proposent désormais, en plus d'une gigantesque gamme de produits de papeterie, une gamme conséquente de produits multimédias (informatique, téléphonie, image, son, etc.).",https://www.facebook.com/nopac/?locale=fr_FR,
LIBRAIRIE_JEUX_PUERICULTURE,NPC TOYS & OUTDOOR,NOUMEA,,,
